ID1,ID2,Rel
O2,F1,U
O2,F2,U
O5,F4,U
O10,O8,U
O9,O12,U
O6,F1,U
O7,F1,U
O10,F4,U
O10,O12,U
O1,O2,U
O7,F7,U
O1,O6,U
O10,F2,U
O6,F2,U
O5,F8,U
O7,F8,U
O9,F7,U
O10,F8,U
F7,M1,U
O5,O12,U
O4,F5,U
O7,F5,U
O7,F4,U
O12,M1,U
O5,M2,U
O4,O10,U
O2,O12,U
O1,F4,U
O3,F5,U
O9,O11,U
O9,M2,U
O12,F1,U
O2,F7,U
O3,F7,U
O2,O5,U
O5,F5,U
O5,O6,U
O7,O12,U
O10,O11,U
O12,F7,U
O9,F5,U
O9,F1,U
O8,F5,U
O3,F1,U
O12,F5,U
O1,O7,U
O6,O12,U
O9,F8,U
O10,F7,U
O3,F2,U
O11,M1,U
O10,M2,U
O11,F1,U
O3,O10,U
O4,F1,U
O3,F4,U
O1,M2,U
O12,F2,U
O7,F2,U
O5,O11,U
O2,F5,U
O7,O10,U
O1,O4,U
O6,F7,U
O8,F1,U
O1,O12,U
O3,O9,U
F8,F2,U
O5,F7,U
O1,F8,U
O6,F8,U
O1,O9,U
O5,F2,U
O7,O11,U
O11,F2,U
O1,F5,U
O6,F4,U
O3,O5,U
O3,F8,U
O2,M2,U
O4,F2,U
O11,F5,U
O12,F4,U
O9,O10,U
O11,O8,U
O4,O5,U
O2,F8,U
O6,O9,U
O2,O8,U
O4,F7,U
O4,O12,U
O12,O8,U
O4,M2,U
O1,F7,U
O2,O10,U
O9,F2,U
O1,M1,U
O7,O9,U
O6,O11,U
M2,F8,U
O1,O11,U
O5,O9,U
F7,F2,U
O10,F1,U
O3,O11,U
O4,F8,U
O1,O8,U
O8,F8,U
O6,O10,U
O6,M2,U
O3,O12,U
O1,O3,U
O8,M2,U
O11,F8,U
O1,O10,U
O2,O11,U
O3,M2,U
O8,F7,U
O7,M2,U
O11,F4,U
O4,O11,U
O2,O3,U
O8,F4,U
O1,F2,U
O2,O4,FS
O2,O9,FS
O3,O7,FS
O4,O9,FS
F1,F2,HS
M2,F2,HS
F7,F8,HS
F8,M1,HS
O1,O5,HS
O2,O6,HS
O2,O7,HS
O3,O4,HS
O3,O6,HS
O3,O8,HS
O4,O6,HS
O4,O7,HS
O4,O8,HS
O5,O7,HS
O5,O8,HS
O5,O10,HS
O6,O7,HS
O6,O8,HS
O7,O8,HS
O9,O8,HS
O11,O12,HS
F7,F3,HS
M2,F3,HS
F6,O3,PO
F6,O7,PO
O1,F1,PO
O2,M1,PO
O2,F4,PO
O3,M1,PO
O4,M1,PO
O4,F4,PO
O5,M1,PO
O5,F1,PO
O6,M1,PO
O6,F5,PO
O7,M1,PO
O8,M1,PO
O8,F2,PO
O9,M1,PO
O9,F4,PO
O10,M1,PO
O10,F5,PO
O11,M2,PO
O11,F7,PO
O12,M2,PO
O12,F8,PO
M1,F2,U
F1,M1,U
F1,F4,U
F1,F5,U
F1,M2,U
F1,F7,U
F1,F8,U
F4,M1,U
F4,F2,U
F4,F5,U
F4,M2,U
F4,F7,U
F4,F8,U
F5,M1,U
F5,F2,U
F5,M2,U
F5,F7,U
F5,F8,U
M2,M1,U
M2,F7,U
